Title,Paragraph Text,Page No
SECTIONS,1.Short title and commencement.,1
SECTIONS,"2.Extension and amendment of  Central Goods and Services Tax Act, 2017.",1
SECTIONS,"3.Repeal and saving.2 THE CENTRAL GOODS AND SERVICES TAX (EXTENSION TO JAMMU ANDKASHMIR) ACT, 2017ACT NO. 26 OF 2017[23rd August, 2017.]An Act to provide for the extension of the Central Goods and Services Tax Act, 2017 to the State ofJammu and Kashmir.BE it enacted by Parliament in the Sixty-eighth Year of the Republic of India as follows:—",2
SECTIONS,"1. Short title and commencement. —(1) This Act may be called the Central  Goods and Services Tax(Extension to Jammu and Kashmir) Act, 2017.",2
SECTIONS,"(2) It shall be deemed to have come into force on the 8th day of July, 2017.",2
SECTIONS,"2. Extension and amendment of  Central Goods and Services Tax Act, 2017. —(1)The CentralGoods and Services Tax Act, 2017 (12 of 2017) (hereinafter referred to as the principal Act) and allrules, notifications and orders made thereunder by the Central  Government are hereby extended to, andshall be in force in, the State of  Jammu and Kashmir.",2
SECTIONS,"(2) With effect from the date of commencement of this Act, in the principal Act,—",2
SECTIONS,"(a) in section 1, in sub-section ( 2), the words “except the State of Jammu and Kashmir” shall beomitted;",2
SECTIONS,"(b) in section 22, in the Explanation, in clause ( ii), after the word “Constitution”, the words “exceptthe State of Jammu and Kashmir” shall be inserted;",2
SECTIONS,"(c) in section 109, in sub-section ( 6),—",2
SECTIONS,"(i) after the words “each State or Union territory”, the words “except for the State of Jammuand Kashmir” shall be inserted;",2
SECTIONS,"(ii) in the first proviso, for the words “Provided that”, the following shall be substituted,namely:—“Provided that for the State of Jammu and Kashmir, the State Bench of the Goods andServices Tax Appellate Tribunal constituted under this Act shall be the State AppellateTribunal constituted under the Jammu and Kashmir Goods and Services Tax Act, 2017:Provided further that”;",2
SECTIONS,"(iii) in the second proviso, for the words “Provided further that”, the words “Provided alsothat” shall be substituted.",2
SECTIONS,"3. Repeal and saving. —(1)The Central Goods and Services Tax (Extension to Jammu and Kashmir)Ordinance, 2017 (Ord. 3 of 2017) is hereby repealed.",2
SECTIONS,"(2) Notwithstanding such repeal, anything done or any action taken under the said Ordinance shall bedeemed to have been done or taken under the corresponding provisions of this Act.",2
