,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,SECTIONS,"1.. Short title, extent and commence men t..",1
1,1,1,SECTIONS,2.. Definitions.CHAPTER IIMENTAL ILLNESS AND CAPACITY TO MAKE MENTAL HEALTHCARE AND TREATMENT DECISIONS,1
2,2,2,SECTIONS,3.. Determination of mental illness.,1
3,3,3,SECTIONS,4.. Capacity to make mental healthcare and treatment decisions.CHAPTER IIIADVANCE DIRECTIVE,1
4,4,4,SECTIONS,5.. Advance directive.,1
5,5,5,SECTIONS,6.. Manner of making advance directive.,1
6,6,6,SECTIONS,7.. Maintenance of online register .,1
7,7,7,SECTIONS,"8.. Revocation, amendment or cancellation of advance directive .",1
8,8,8,SECTIONS,9.. Advance directive not to apply to emergency treatment .,1
9,9,9,SECTIONS,10. Duty to follow advance directive .,1
10,10,10,SECTIONS,"11. Power to review, alter, modify or cancel advance directive .",1
11,11,11,SECTIONS,12. Review of advance directives.,1
12,12,12,SECTIONS,13. Liability of medical health professional in relation to advance directive .CHAPTER IVNOMINATED REPRESENTATIVE,1
13,13,13,SECTIONS,14. Appointment and revocation of nominated representative.,1
14,14,14,SECTIONS,15. Nominated representative of minor.,1
15,15,15,SECTIONS,"16. Revocation, alteration, etc., of nominated representative by Board.",1
16,16,16,SECTIONS,17. Duties of nominated representative.CHAPTE RVRIGHTS OF PERSONS WITH MENTAL ILLNESS,1
17,17,17,SECTIONS,18. Right to access mental health care.,1
18,18,18,SECTIONS,19. Right to community living.,1
19,19,19,SECTIONS,"20. Right to protection from cruel, inhuman and degrading treatment.",1
20,20,20,SECTIONS,21. Right to equality and non -discrimination.,1
21,21,21,SECTIONS,22. Right to information.,1
22,22,22,SECTIONS,23. Right to confidentiality.,1
23,23,23,SECTIONS,24. Restriction on release of information in respect of mental illness .,1
24,24,24,SECTIONS,25. Right to access medical records.,1
25,25,25,SECTIONS,26. Right to personal contacts and communication.,1
26,26,26,SECTIONS,27. Right to legal aid.,1
27,27,27,SECTIONS,28. Right to make complaints about deficiencies in provision of services.CHAPTER VIDUTIES OF APPROPRIATE GOVERNMENT,1
28,28,28,SECTIONS,29. Promotion of mental health and preventive programmes.2,1
29,29,29,SECTIONS,30. Creating awareness about mental health and illness and reducing stigma associated with mentalillness.,2
30,30,30,SECTIONS,"31. Appropriate Government to take measures as regard to human resource development andtraining, et c..",2
31,31,31,SECTIONS,32. Co-ordination within appropriate Government .CHAPTER VIICENTRAL MENTAL HEALTH AUTHORITY,2
32,32,32,SECTIONS,33. Establishment of Central Authority.,2
33,33,33,SECTIONS,34. Composition of Central Authority.,2
34,34,34,SECTIONS,"35. Term of office, salaries and allowances of chairperson and members.",2
35,35,35,SECTIONS,36. Resignation.,2
36,36,36,SECTIONS,37. Filling of vacancies.,2
37,37,37,SECTIONS,"38. Vacancies, etc., not to invalidate proceedings of Central Authority.",2
38,38,38,SECTIONS,39. Member not to participate in meetings in certain cases.,2
39,39,39,SECTIONS,40. Officers and other employees of Central Authority.,2
40,40,40,SECTIONS,41. Functions of chie fexecutive officer of Central Authority.,2
41,41,41,SECTIONS,"42. Transfer of assets, liabilities of Central Authority.",2
42,42,42,SECTIONS,43. Functions of Central Authority.,2
43,43,43,SECTIONS,44. Meetings of Central Authority.CHAPTER VII ISTATE MENTAL HEALTH AUTHORITY,2
44,44,44,SECTIONS,45. Establishment of State Authority.,2
45,45,45,SECTIONS,46. Composition of State Authority.,2
46,46,46,SECTIONS,"47. Term of office, salaries and allowances of chairperson and other members.",2
47,47,47,SECTIONS,48. Resignation.,2
48,48,48,SECTIONS,49. Filling of vacancies.,2
49,49,49,SECTIONS,"50. Vacancies, etc., not to invalidate proceedings of State Authority.",2
50,50,50,SECTIONS,51. Member not to participate in meetings in certain cases.,2
51,51,51,SECTIONS,52. Officers and other employees of State Authority.,2
52,52,52,SECTIONS,53. Functions of chief executive officer of State Authority.,2
53,53,53,SECTIONS,"54. Transfer of assets, liabilities of State Authority.",2
54,54,54,SECTIONS,55. Functions of State Authority.,2
55,55,55,SECTIONS,"56. Meetings of State Authority.CHAPTER IXFINANCE, ACCOUNTS AND AUDIT",2
