,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,SECTIONS,"1.. Short title, extent and commencement.",1
1,1,1,SECTIONS,2.. Definitions .CHAPTER IIBUREAU OF INDIA NSTANDARDS,1
2,2,2,SECTIONS,3.. Establishment of Bureau and Constitution of Governing Council .,1
3,3,3,SECTIONS,4.. Executive Committee of Bureau.,1
4,4,4,SECTIONS,5.. Advisory Committees of Bureau.,1
5,5,5,SECTIONS,"6.. Vacancies, etc., not to invalidate act or proceedings.",1
6,6,6,SECTIONS,7.. Director General.,1
7,7,7,SECTIONS,8.. Officers and employees of Bureau.,1
8,8,8,SECTIONS,"9.. Powers and functions of Bureau.CHAPTER IIIINDIA NSTANDARDS , CERTIFICATION AND LICENCE",1
9,9,9,SECTIONS,10. India nStandards.,1
10,10,10,SECTIONS,"11. Prohibition to publish, reproduce or record without authorisation by Bureau.",1
11,11,11,SECTIONS,12. Conformity Assessment scheme.,1
12,12,12,SECTIONS,13. Grant of licence or certificate of conformity.,1
13,13,13,SECTIONS,14. Certification of Standard Mark of jewellers and sellers of certain specified goods or articles.,1
14,14,14,SECTIONS,"15. Prohibition to import, sell, exhibit, etc.",1
15,15,15,SECTIONS,16. Central Government to direct compulsory use of Standard Mark.,1
16,16,16,SECTIONS,"17. Prohibition to manufacture, sell, etc., certain goods without Standard Mark.",1
17,17,17,SECTIONS,"18. Obligations of licence holder, seller, etc.CHAPTER IVFINANCE , ACCOUNTS AND AUDIT",1
18,18,18,SECTIONS,19. Financial Management of Bureau of India nStandards.,1
19,19,19,SECTIONS,20. Fund of Bureau.,1
20,20,20,SECTIONS,21. Borrowing powers of Bureau.,1
21,21,21,SECTIONS,22. Budget.223. Annual report.,1
22,22,22,SECTIONS,24. Accounts and audit.CHAPTER V,2
23,23,23,SECTIONS,25. Power of Central Government to issue directions.,2
24,24,24,SECTIONS,26. Restriction on use of name of Bureau and India nStandard.,2
25,25,25,SECTIONS,27. Appointment and powers of certification officers.,2
26,26,26,SECTIONS,28. Power to search and seizure.,2
27,27,27,SECTIONS,29. Penalty for contravention.,2
28,28,28,SECTIONS,30. Of fences by companies.,2
29,29,29,SECTIONS,31. Compensation for non -conforming goods.,2
30,30,30,SECTIONS,32. Cognizance of of fence by courts.,2
31,31,31,SECTIONS,33. Compounding of offence.,2
32,32,32,SECTIONS,34. Appeal.,2
33,33,33,SECTIONS,"35. Members, officers and employees of Bureau to be public servants.",2
34,34,34,SECTIONS,36. Protection of action taken in good faith.,2
35,35,35,SECTIONS,37. Authentication of orders and other instruments of Bureau.,2
36,36,36,SECTIONS,38. Power to make rules.,2
37,37,37,SECTIONS,39. Power to make regulations.,2
38,38,38,SECTIONS,40. Rules and regulations to be laid before Parliament.,2
