,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,SECTIONS,1.. Short title and commencement.,1
1,1,1,SECTIONS,2.. Existing national waterways and declaration of certain inland waterways as national waterways.,1
2,2,2,SECTIONS,3.. Declaration as to expediency of control and development by Union of waterways specified in Schedule for certain purposes.,1
3,3,3,SECTIONS,4.. Amendment of section 2of Act 82 of 1985.,1
4,4,4,SECTIONS,"5.. Repeal of certain enactments and saving.THE SCHEDULE .2THE NATIONAL WATERWAYS ACT, 2016ACT NO. 17 OF 2016[25th March , 2016 .]An Act to make provisions for existing national waterways and to provide for the declaration of certain inland waterways to be national waterways and also to provide for the regulation and development of the said waterways for the purposes of shipping and naviga tion and for matters connected therewith or incidental thereto.BE it enacted by Parliament in the Sixty -seventh Year of the Republic of India as follows: —",1
5,5,5,SECTIONS,"1.. Short title and commencement .—(1)) This Act may be called the National Waterways Act, 2016.(2)) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette, appoint.",2
6,6,6,SECTIONS,"2.. Existing national waterways and declaration of certain inland waterways as national waterways .—(1)) The existing national waterways spec ified at serial numbers 1to 5in the Schedule along with their limits given in column ( 3)) thereof, which have been declared as such under the Acts referred to in sub -section ( 1)) of section 5,, shall, subject to the modifications made under this Act, con tin ueto be national waterways for the purposes of shipping and navigation under this Act.(2)) The regulation and development of the waterways referred to in",2
7,7,7,SECTIONS,"sub -section ( 1)) which have been under the control of the Central Government shall continue, as if the said waterways are declared as national waterways under the provisions of this Act.(3)) The inland waterways specified at serial numbers 6to 111 in the Schedule along with their limits given in column ( 3)) thereof are hereby declared to be national water way sfor the purposes of shipping andnavigation.",2
8,8,8,SECTIONS,"3.. Declaration as to expediency of control and development by Union of waterways specified in Schedule for certain purposes .—Save as provided in sub -sections ( 1)) and ( 2)) of section 2,, it is hereby declared that it is expedient in the public interest that the Union should take under its control the regulation and development of the waterways specified in the Schedule for the purposes of shipping and navigation to the extent provided in the Inland Waterways Authority of India Act, 1985 (82 of 1985).",2
9,9,9,SECTIONS,"4.. Amendment of section 2of Act 82 of 1985 .—In the Inland Waterways Authority of IndiaAct, 1985 , in section 2,, for clause ( h)), the following clause shall be substituted, namely: —„(h)) “national waterway ” means the inland waterway declared by section 2of the National Waterways Act, 2016, to be anational waterway.Explanation. —If Parliament declares by law any other waterway to be anational waterway, then,from the date on which such declaration takes effect, such other waterway —(i)) shall also be deemed to be anational waterway within",2
