,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,,"1.. Short title and commencement .—(1)) This Act may be called the India nInstitute of Petroleum and Energy Act, 2017.(2)) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette, appoint, and different dates may be appointed for different provisions of this Act.",2
1,1,1,,"2.. Declaration of India Institute of Petroleum and Energy as an institution of nationalimportance. —Whereas the objects of the institution known as the India nInstitute of Petroleum andEnergy, Vishakhapatnam, Andhra Pradesh are such as to make the institution one of nationalimportance, it is hereby declared that the institution known as the India nInstitute of Petroleum and Energy is an institution of national importance.",2
2,2,2,,"3.. Definitions. —In this Act, unless the context otherwise requires,—(a)) “appointed day” means the date appointed under sub-section ( 2)) of section 1for coming into force of this Act;(b)) “Board” means the Board of Governors of the Institute constituted under sub-section ( 1)) of section 5;;(c)) “Chairperson” means the Chairperson of the General Council;(d)) “Director” means the Director of the Institute appointed under section 20;(e)) “fund” means the fund of the Institute to be maintained under section 24;(f)) “General Council” means the General",2
3,3,3,,"Council constituted under sub-section ( 1)) of section 15;(g)) “Institute” means the India nInstitute of Petroleum and Energy incorporated under section 4;;(h)) “President” means the President of the Board appointed under clause ( a)) of sub-section ( 1))of section 5;;(i)) “Registrar” means the Registrar of the Institute referred to in section 21;(j)) “Senate” means the Senate of the Institute referred to in section 17;(k)) “Society” means the India nInstitute of Petroleum and Energy Society, Vishakhapatnam,Andhra Pradesh registered under the Andhra",2
4,4,4,,"Pradesh Societies Registration Act, 2001 (AndhraPradesh Act 35 of 2001); and(l)) “Statutes” and “Ordinances” mean, respectively, the Statutes and the Ordinances of the Institute made under this Act.",2
5,5,5,,"4.. Incorporation of Institute. —The India nInstitute of Petroleum and Energy, Vishakhapatnam,Andhra Pradesh, an institution registered under the Andhra Pradesh Societies Registration Act, 2001,shall be abody corporate having perpetual succession and acommon seal with power, subject to the provisions of this Act, to acquire, hold and dispose of property and to contract, and shall, by thatname, sue and be sued.",2
6,6,6,,"1.. 22nd January, 2018, vide notification No. S..O.. 272(E)), dated 17th January, 2018, see Gazette of India, Extraordinary,Part II, sec. 3(( ii).35.. Constitution of Board of Governors. —(1)) With effect from such date as the Central Government may, by notification in the Official Gazette, appoint, there shall be constituted by the Central Government for the purposes of this Act, aBoard to be known as the Board of Governors consisting of the following members, namely:—(a)) the President to be appointed by the Central Government in such manner as may",2
7,7,7,,"be provided by the Statutes:Provided that the first President shall be appointed by the Central Government on such terms and conditions as it deems fit, for aperiod not exceeding six months from the date the first Statutes comes into force;(b)) the Director of the Institute, ex officio ;(c)) two persons from the Board of Directors of the promoting companies to be nominated by the Central Government.Explanation .—For the purposes of this clause, promoting companies mean those companies contributing to the endowment fund referred to in section 25;(d))",2
8,8,8,,"one Professor of the India nInstitute of Science, Ban galore to be nominated by the Director of that Institute;(e)) five eminent experts in the field of petroleum technology, renewable and non-renewable energy covering the entire hydrocarbon value chain having specialised knowledge or operational experience in respect of education, research, engineering and technology to be nominated by the GeneralCouncil, in consultation with the Director of the Institute;( f)) two Professors of the Institute to be nominated by the Senate of the Institute; and(g))",2
9,9,9,,one representative of the graduates of the Institute to be nominated by the Executive Committee of the Alumni Association.(2)) The Registrar of the Institute shall act as the Secretary of the Board.(3)) The Board shall ordinarily meet four times during acalendar year.,2
