,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,,"1.. Short title, extent and commencement .—(1)) This Act may be called the Goods and Services Tax(Compensation to States) Act, 2017.(2)) It extends to the whole of India.(3)) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette, appoint.",2
1,1,1,,"2.. Definitions. — (1)) In this Act, unless the context otherwise requires,—(a)) “central tax” means the central goods and services tax levied and collected under the Central Goods and Services Tax Act;(b)) “Central Goods and Services Tax Act” means the Central Goods and Services Tax Act, 2017(12 of 2017);(c)) “cess” means the goods and services tax compensation cess levied under section 8;;(d)) “compensation” means an amount, in the form of goods and services tax compensation, as determined under section 7;;(e)) “Council” means the Goods and Services",2
2,2,2,,"Tax Council constituted under the provisions of article 279A of the Constitution;(f)) “Fund” means the Goods and Services Tax Compensation Fund referred to in section 10;(g)) “input tax” in relation to ataxable person, means,––(i)) cess charged on any supply of goods or services or both made to him;(ii) cess charged on import of goods and includes the cess payable on reverse charge basis;(h)) “Integrated Goods and Services Tax Act” means the Integrated Goods and Services TaxAct, 2017 (13 of 2017);(i)) “integrated tax” means the integrated goods",2
3,3,3,,"and services tax levied and collected under the Integrated Goods and Services Tax Act;(j)) “prescribed” means prescribed by rules made, on the recommendations of the Council, under this Act;(k)) “projected growth rate” means the rate of growth projected for the transition period as per section 3;;(l)) “Schedule” means the Schedule appended to this Act;(m)) “State” means,––(i)) for the purposes of sections 3,, 4,, 5,, 6and 7the States as defined under the Central Good sand Services Tax Act; and(ii) for the purposes of sections 8,, 9,, 10, 11, 12, 13 and 14",2
4,4,4,,the States as defined under the Central Goods and Services Tax Act and the Union territories as defined under the Union Territories Good sand Services Tax Act;,2
5,5,5,,"1.. 1st July, 2017 vide notification No. G..S..R..700(E)), dated the 28th June, 2017, see Gazette of India, Extraordinary, Part II,Sec. 3(( i)).3((n)) “State tax” means the State goods and services tax levied and collected under the respective State Goods and Services Tax Act;(o)) “State Goods and Services Tax Act” means the law to be made by the State Legislature for levy and collection of tax by the concerned State on supply of goods or services or both;(p)) “taxable supply” means asupply of goods or services or both which is chargeable to the",2
6,6,6,,"cess under this Act;(q)) “transition date” shall mean, in respect of any State, the date on which the State Goods and Services Tax Act of the concerned State comes into force;(r)) “transition period” means aperiod of five years from the transition date; and(s)) “Union Territories Goods and Services Tax Act” means the Union Territories Goods and Services Tax Act, 2017 (14 of 2017).(2)) The words and expressions used and not defined in this Act but defined in the Central Goods and Services Tax Act and the Integrated Goods and Services Tax Act shall have the meanings respectively assigned to them in those Acts.",2
7,7,7,,3.. Projected growth rate. ––The projected nominal growth rate of revenue subsumed for aState during the transition period shall be fourteen per cent. per annum.,3
8,8,8,,"4.. Base year. ––For the purpose of calculating the compensation amount payable in any financial year during the transition period, the financial year ending 31st March, 2016, shall be taken as the base year.",3
9,9,9,,"5.. Base year revenue .––(1)) Subject to the provision of sub-sections ( 2)), (3)), (4)), (5)) and ( 6)), the base year revenue for aState shall be the sum of the revenue collected by the State and the local bodies during the base year, on account of the taxes levied by the respective State or Union and net of refunds, with respect to the following taxes, imposed by the respective State or Union, which are subsumed into good sand services tax, namely:––(a)) the value added tax, sales tax, purchase tax, tax collected on works contract, or any other",3
10,10,10,,"tax levied by the concerned State under the erstwhile entry 54 of List-II (State List) of the Seventh Schedule to the Constitution;(b)) the central sales tax levied under the Central Sales Tax Act, 1956 (74 of 1956);(c)) the entry tax, octroi, local body tax or any other tax levied by the concerned State under the erstwhile entry 52 of List-II (State List) of the Seventh Schedule to the Constitution;(d)) the taxes on luxuries, including taxes on entertainments, amusements, betting and gambling or any other tax levied by the concerned State under the",3
11,11,11,,"erstwhile entry 62 of List-II (State List) of the Seventh Schedule to the Constitution;(e)) the taxes on advertisement or any other tax levied by the concerned State under the erstwhile entry 55 of List-II (State List) of the Seventh Schedule to the Constitution;(f)) the duties of excise on medicinal and toilet preparations levied by the Union but collected and retained by the concerned State Government under the erstwhile article 268 of the Constitution;(g)) any cess or surcharge or fee leviable under entry 66 read with entries 52, 54, 55 and 62",3
12,12,12,,"ofList-II of the Seventh Schedule to the Constitution by the State Government under any Act notified under sub-section ( 4)),prior to the commencement of the provisions of the Constitution (One Hundred and First Amendment)Act, 2016:Provided that the revenue collected during the base year in aState, net of refunds, under the following taxes shall not be included in the calculation of the base year revenue for that State, namely:—(a)) any taxes levied under any Act enacted under the erstwhile entry 54 of List-II (State List) of the Seventh Schedule",3
13,13,13,,"to the Constitution, prior to the coming into force of the provisions of the Constitution(One Hundred and First Amendment) Act, 2016, on the sale or purchase of petroleum crude, high speeddiesel, motor spirit (commonly known as petrol), natural gas, aviation turbine fuel and alcoholic liquor for human consumption;4((b)) tax levied under the Central Sales Tax Act, 1956 (74 of 1956), on the sale or purchase of petroleum crude, high speed diesel, motor spirit (commonly known as petrol), natural gas, aviation turbine fuel and alcoholic liquor for",3
14,14,14,,"human consumption;(c)) any cess imposed by the State Government on the sale or purchase of petroleum crude, high speed diesel, motor spirit (commonly known as petrol), natural gas, aviation turbine fuel and alcoholic liquor for human consumption; and(d)) the entertainment tax levied by the State but collected by local bodies, under any Act enacted under the erstwhile entry 62 of List-II (State List) of the Seventh Schedule to the Constitution, prior to coming into force of the provisions of the Constitution (One Hundred and First Amendment)",3
15,15,15,,"Act,2016.(2)) In respect of the State of Jam mu and Kashmir, the base year revenue shall include the amount of tax collected on sale of services by the said State Government during the base year.(3)) In respect of the States mentioned in sub-clause ( g)) of clause (4)) of article 279A of the Constitution,the amount of revenue foregone on account of exemptions or remission given by the said State Governments to promote industrial investment in the State, with respect to such specific taxes referred to insub-section ( 1)), shall be included in the",3
