,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,SECTIONS,"1.. Short title, extent and commencement.",1
1,1,1,SECTIONS,"2.. Definitions.CHAPTER IICOMMERCIAL COURTS, COMMERCIAL APPELLATE COURTS, COMMERCIAL DIVISIONS AND COMMERCIAL APPELLATE DIVISIONS",1
2,2,2,SECTIONS,3.. Constitution of Commercial Courts.3A. Designation of Commercial Appellate Courts.,1
3,3,3,SECTIONS,4.. Constitution of Commercial Division of High Court.,1
4,4,4,SECTIONS,5.. Constitution of Commercial Appellate Division.,1
5,5,5,SECTIONS,6.. Jurisdiction of Commercial Court.,1
6,6,6,SECTIONS,7.. Jurisdiction of Commercial Divisions of High Courts.,1
7,7,7,SECTIONS,8.. Bar against revision application or petition against an interlocutory order.,1
8,8,8,SECTIONS,9.. [Omitted .].,1
9,9,9,SECTIONS,10. Jurisdiction in respect of arbitration matters.,1
10,10,10,SECTIONS,11. Bar of jurisdiction of Commercial Courts and Commercial Divisions.CHAPTER IIISPECIFIED VALUE,1
11,11,11,SECTIONS,12. Determination of Specified Value .CHAPTER IIIAPRE-INSTITUTION MEDIATION AND SETTLEMENT12A. Pre-Institution Mediation and Settlement.CHAPTER IV,1
12,12,12,SECTIONS,13. Appeals from decrees of Commercial Courts and Commercial Divisions.,1
13,13,13,SECTIONS,14. Expeditious disposal of appeals .CHAPTER VTRANSFER OF PENDING SUITS,1
14,14,14,SECTIONS,"15. Transfer of pending cases.CHAPTER VIAMENDMENTS TO THE PROVISIONS OF THE CODE OF CIVIL PROCEDURE, 1908",1
15,15,15,SECTIONS,"16. Amendments to the Code of Civil Procedure, 1908 in its application to commercial disputes CHAPTER VII",1
16,16,16,SECTIONS,"17. Collection and disclosure of data by Commercial Courts, Commercial Appellate Courts,Commercial Divisions and Commercial Appellate Divisions.",1
17,17,17,SECTIONS,18. Power of High Court to issue directions.,1
18,18,18,SECTIONS,19. Infrastructure facilities.2SECTIONS,1
19,19,19,SECTIONS,20. Training and continuous education.,2
20,20,20,SECTIONS,21. Act to have overriding effect.21A. Power of Central Government to make rules.,2
21,21,21,SECTIONS,22. Power to remove difficulties.,2
22,22,22,SECTIONS,"23. Repeal and savings.3THE COMMERCIAL COURTS ACT, 2015ACT NO. 4OF 2016[31st December , 2015.]An Act to provide for the constitution of Commercial Courts, 1[[Commercial Appellate Courts,]Commercial Division and Commercial Appellate Division in the High Courts for adjudicating commercial disputes of specified value and matters connected therewith or incidental thereto.BE it enacted by Parliament in the Sixty-sixth Year of the Republic of India as follows:—CHAPTER I",2
23,23,23,SECTIONS,"1.. Short title, extent and commencement. —2[[(1)) This Act may be called the Commercial CourtsAct, 2015.](2)) It extends to the whole of India except the State of Jam mu and Kashmir.(3)) It shall be deemed to have come into force on the 23rd day of October, 2015.",3
24,24,24,SECTIONS,"2.. Definitions. —(1)) In this Act, unless the context otherwise requires,––3[[(a)) “Commercial Appellate Courts” means the Commercial Appellate Courts designated under section 3A;]4[[(aa)] “Commercial Appellate Division” means the Commercial Appellate Division in aHigh Court constituted under sub-section ( 1)) of section 5;;(b)) “Commercial Court” means the Commercial Court constituted under sub-section ( 1)) of section 3;;(c)) “commercial dispute” means adispute arising out of––(i)) ordinary transactions of merchants, bankers, financiers and traders such",3
25,25,25,SECTIONS,"as those relating to mercantile documents, including enforcement and interpretation of such documents;(ii) export or import of merchandise or services;(iii) issues relating to admiralty and maritime law;(iv) transactions relating to aircraft, aircraft engines, aircraft equipment and helicopters,including sales, leasing and financing of the same;(v)) carriage of goods;(vi) construction and infrastructure contracts, including tenders;(vii) agreements relating to immovable property used exclusively in trade or commerce;(viii) franchising",3
26,26,26,SECTIONS,agreements;(ix) distribution and licensing agreements;(x)) management and consultancy agreements;(xi) joint venture agreements;(xii) shareholders agreements;,3
27,27,27,SECTIONS,"1.. Ins. by Act 28 of 2018, s.. 2((w..e..f.. 3--5--2018).",3
28,28,28,SECTIONS,"2.. Subs. by s.. 3,, ibid., for sub-section ( 1)) (w..e..f.. 3--5--2018).",3
29,29,29,SECTIONS,"3.. Ins. by s.. 4,, ibid., (w..e..f.. 3--5--2018).",3
30,30,30,SECTIONS,"4.. Clause ( a)) renumbered as clause ( aa) by s.. 4,, ibid., (w..e..f.. 3--5--2018).4((xiii) subscription and investment agreements pertaining to the services industry including outsourcing services and financial services;(xiv) mercantile agency and mercantile usage;(xv) partnership agreements;(xvi) technology development agreements;(xvii) intellectual property rights relating to registered and unregistered trademarks,copyright, patent, design, domain names, geographical indications and semiconductor integratedcircuits;(xviii) agreements for sale of",3
31,31,31,SECTIONS,goods or provision of services;(xix) exploitation of oil and gas reserves or other natural resources including electromagneticspectrum;(xx) insurance and re-insurance;(xxi) contracts of agency relating to any of the above; and(xxii) such other commercial disputes as may be notified by the Central Government.Explanation .––Acommercial dispute shall not cease to be acommercial dispute merelybecause—(a)) it also involves action for recovery of immovable property or for realisation of monies out of immovable property given as security or involves,3
32,32,32,SECTIONS,"any other relief pertaining to immovable property;(b)) one of the contracting parties is the State or any of its agencies or instrumentalities, ora private body carrying out public functions;(d)) “Commercial Division” means the Commercial Division in aHigh Court constituted undersub-section ( 1)) of section 4;;(e)) “District Judge” shall have the same meaning as assigned to it in clause (a)) of article 236 of the Constitution of India;(f)) “document” means any matter expressed or described upon any substance by means of letters,figures or marks, or",3
33,33,33,SECTIONS,"electronic means, or by more than one of those means, intended to be used, or which may be used, for the purpose of recording that matter;(g)) “notification” means anotification published in the Official Gazette and the expression“notify” with its cognate meanings and grammatical variations shall be construed accordingly;(h)) “Schedule” means the Schedule appended to the Act; and(i)) “Specified Value”, in relation to acommercial dispute, shall mean the value of thesubject-matter in respect of asuit as determined in accordance with section 12",3
34,34,34,SECTIONS,"1[[which shall not be less than three lakh rupees] or such higher value, as may be notified by the Central Government.(2)) The words and expressions used and not defined in this Act but defined in the Code of CivilProcedure, 1908 (5of 1908) and the India nEvidence Act, 1872 (1of 1872), shall have the same meanings respectively assigned to them in that Code and the Act.",3
35,35,35,SECTIONS,"1.. Subs. by Act 28 of 2018, s.. 4,, for “which shall not be less than one crore rupees” (w..e..f.. 3--5--2018).5CHAPTER II1[COMMERCIAL COURTS, COMMERCIAL APPELLATE COURTS, COMMERCIAL DIVISIONS AND COMMERCIAL APPELLATE DIVISIONS ].",4
36,36,36,SECTIONS,"3.. Constitution of Commercial Courts. —(1)) The State Government, may after consultation with the concerned High Court, by notification, constitute such number of Commercial Courts at District level, asit may deem necessary for the purpose of exercising the jurisdiction and powers conferred on those Courts under this Act:2[[Provided that with respect to the High Courts having ordinary original civil jurisdiction, the State Government may, after consultation with the concerned High Court, by notification, constitute Commercial Courts at the District",5
37,37,37,SECTIONS,"Judge level:Provided further that with respect to aterritory over which the High Courts have ordinary original civil jurisdiction, the State Government may, by notification, specify such pecuniary value which shall not be less than three lakh rupees and not more than the pecuniary jurisdiction exercisable by the DistrictCourts, as it may consider necessary.]3[[(1A) Notwithstanding anything contained in this Act, the State Government may, after consultation with the concerned High Court, by notification, specify such pecuniary value which shall",5
38,38,38,SECTIONS,"not be less than three lakh rupees or such higher value, for whole or part of the State, as it may consider necessary.];(2)) The State Government shall, after consultation with the concerned High Court specify, bynotification, the local limits of the area to which the jurisdiction of aCommercial Court shall extend andmay, from time to time, increase, reduce or alter such limits.(3)) The 4[[State Government may], with the concurrence of the Chief Justice of the High Court appoint one or more persons having experience in dealing with commercial",5
39,39,39,SECTIONS,"disputes to be the Judge or Judges, ofa 5[[Commercial Court either at the level of District Judge or acourt below the level of aDistrict Judge].6[[3A.Designation of Commercial Appellate Courts .—Except the territories over which the High Courts have ordinary original civil jurisdiction, the State Government may, after consultation with the concerned High Court, by notification, designate such number of Commercial Appellate Courts at District Judge level, as it may deem necessary, for the purposes of exercising the jurisdiction and powers conferred on those Courts under this Act.]",5
40,40,40,SECTIONS,"4.. Constitution of Commercial Division of High Court. —(1)) In all High Courts, having 7[[ordinaryoriginal civil jurisdiction], the Chief Justice of the High Court may, by order, constitute Commercial Division having one or more Benches consisting of asingle Judge for the purpose of exercising the jurisdiction and powers conferred on it under this Act.(2)) The Chief Justice of the High Court shall nominate such Judges of the High Court who have experience in dealing with commercial disputes to be Judges of the Commercial Division.",5
41,41,41,SECTIONS,"5.. Constitution of Commercial Appellate Division. —(1)) After issuing notification under sub-section ( 1)) of section 3or order under sub-section ( 1)) of section 4,, the Chief Justice of the concerned High Court shall, by order, constitute Commercial Appellate Division having one or more Division Benches for the purpose of exercising the jurisdiction and powers conferred on it by the Act.(2)) The Chief Justice of the High Court shall nominate such Judges of the High Court who have experience in dealing with commercial disputes to be Judges of the Commercial Appellate Division.",5
42,42,42,SECTIONS,"1.. Subs. by Act 28 of 2018, s.. 5,, for “ CONSTITUTION OF COMMERCIAL COURTS, COMMERCIAL DIVISIONS AND COMMERCIAL APPELLATE DIVISIONS ” (w..e..f.. 3--5--2018).",5
43,43,43,SECTIONS,"2.. Subs. by s.. 6,, ibid., for the proviso (w..e..f.. 3--5--2018).",5
44,44,44,SECTIONS,"3.. Ins. by s.. 6,, ibid., (w..e..f.. 3--5--2018).",5
45,45,45,SECTIONS,"4.. Subs. by s.. 6,, ibid., for “State Government shall” (w..e..f.. 3--5--2018).",5
46,46,46,SECTIONS,"5.. Subs. by s.. 6,, ibid ., for “Commercial Court, from amongst the cadre of Higher Judicial Service in the State”(w..e..f.. 3--5--2018).",5
47,47,47,SECTIONS,"6.. Ins. by s.. 7,, ibid., (w..e..f.. 3--5--2018).",5
48,48,48,SECTIONS,"7.. Subs. by s.. 8,, ibid., for “ordinary civil jurisdiction” (w..e..f.. 3--5--2018).66.. Jurisdiction of Commercial Court. —The Commercial Court shall have jurisdiction to try all suit sand applications relating to acommercial dispute of aSpecified Value arising out of the entire territory of the State over which it has been vested territorial jurisdiction.Explanation .––For the purposes of this section, acommercial dispute shall be considered to arise out of the entire territory of the State over which aCommercial Court has been vested",5
49,49,49,SECTIONS,"jurisdiction, if the suitor application relating to such commercial dispute has been instituted as per the provisions of sections 16to 20 of the Code of Civil Procedure, 1908 (5of 1908).",5
50,50,50,SECTIONS,"7.. Jurisdiction of Commercial Divisions of High Courts. —All suits and applications relating to commercial disputes of aSpecified Value filed in aHigh Court having ordinary original civil jurisdiction shall be heard and disposed of by the Commercial Division of that High Court:Provided that all suits and applications relating to commercial disputes, stipulated by an Act to lie in acourt not inferior to aDistrict Court, and filed or pending on the original side of the High Court, shall be heard and disposed of by the Commercial Division of the",6
51,51,51,SECTIONS,"High Court:Provided further that all suits and applications transferred to the High Court by virtue of sub-section(4)) of section 22 of the Designs Act, 2000 (16 of 2000) or section 104 of the Patents Act, 1970 (39 of1970) shall be heard and disposed of by the Commercial Division of the High Court in all the areas over which the High Court exercises ordinary original civil jurisdiction.",6
52,52,52,SECTIONS,"8.. Bar against revision application or petition against an interlocutory order. —Notwithstandinganything contained in any other law for the time being in force, no civil revision application or petition shall be entertained against any interlocutory order of aCommercial Court, including an order on the issue of jurisdiction, and any such challenge, subject to the provisions of section 13, shall be raised only in an appeal against the decree of the Commercial Court.",6
53,53,53,SECTIONS,"9.. [Transfer of suit if counterclaim in acommercial dispute is of Specified Value ].—Omitted by the Commercial Courts, Commercial Division and Commercial Appellate Division of High Courts(Amendment) Act, 2018 (28 of 2018 ), s.. 9((w..e..f.. 3--5--2018)",6
54,54,54,SECTIONS,"10. Jurisdiction in respect of arbitration matters. —Where the subject-matter of an arbitration is acommercial dispute of aSpecified Value and––(1)) If such arbitration is an international commercial arbitration, all applications or appeals arising out of such arbitration under the provisions of the Arbitration and Conciliation Act, 1996(26 of 1996) that have been filed in aHigh Court, shall be heard and disposed of by the Commercial Division where such Commercial Division has been constituted in such High Court.(2)) If such arbitration is other",6
55,55,55,SECTIONS,"than an international commercial arbitration, all applications or appeals arising out of such arbitration under the provisions of the Arbitration and Conciliation Act,1996 (26 of 1996) that have been filed on the original side of the High Court, shall be heard and disposed of by the Commercial Division where such Commercial Division has been constituted in such High Court.(3)) If such arbitration is other than an international commercial arbitration, all applications or appeals arising out of such arbitration under the provisions of the",6
56,56,56,SECTIONS,"Arbitration and Conciliation Act,1996 (26 of 1996) that would ordinarily lie before any principal civil court of original jurisdiction in adistrict (not being aHigh Court) shall be filed in, and heard and disposed of by the Commercial Court exercising territorial jurisdiction over such arbitration where such Commercial Court has beenconstituted.",6
