,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title extent and commencement,1
1,1,SECTIONS,declaration a to expediency of union action,1
2,2,SECTIONS,de fi ni ti ons chapter and allotment,1
3,3,SECTIONS,eligibility to participate in auction and payment of fee,1
4,4,SECTIONS,allotment of mine to government company or corporation,1
5,5,SECTIONS,central government to act through nominate authority,1
6,6,SECTIONS,power to certain schedule i coal mine by central government,1
7,7,SECTIONS,nominate authority to issue vest order or allotment order,1
8,8,SECTIONS,priority of dis bursal of proceeds chapter of right and obligation of prior allot te es,1
9,9,SECTIONS,of movable property use in coal mining operation,1
10,10,SECTIONS,discharge or adoption of t party contract with prior allot te es,1
11,11,SECTIONS,provision in relation to secure creditor,1
12,12,SECTIONS,void alienation a permit security interest,1
13,13,SECTIONS,liability of prior allot te es,1
14,14,SECTIONS,commissioner of payment to be appoint and his power,1
15,15,SECTIONS,valuation of compensation r payment to prior allottee chapter of the central government after the appoint date,1
16,16,SECTIONS,responsibility of central government after appoint date,1
17,17,SECTIONS,central government to appoint designate custodian,1
18,18,SECTIONS,power and function of designate custodian in respect of schedule coal ar ra,1
19,19,SECTIONS,power of central government to approve certain,2
20,20,SECTIONS,acquisition of land,2
21,21,SECTIONS,rea li sat ion of additional levy,2
22,22,SECTIONS,penalty for certain of fence,2
23,23,SECTIONS,penalty for failure to comply with direction of central government,2
24,24,SECTIONS,of fence by company,2
25,25,SECTIONS,cognizance of of fence,2
26,26,SECTIONS,dispute settlement and bar of jurisdiction of civil court,2
27,27,SECTIONS,protection of action take in good faith,2
28,28,SECTIONS,act to have override effect,2
29,29,SECTIONS,amendment of certain act contain in schedule,2
30,30,SECTIONS,power to make rule,2
31,31,SECTIONS,power to remove difficulty,2
32,32,SECTIONS,repeal and saving schedule coal mine special provision act no of march act to provide for allocation of coal mine and vest of the right title and interest in and over th eland and mine infrastructure together with mining lease to successful bidder and allot te es with a view to ensure continuity in coal mining operation and production of coal and for pro mo ting optimum of coal resource consistent with the requirement of the country in,2
33,33,SECTIONS,national interest and for matter connect t herewith or incidental thereto whereas the supreme court t date august read with it order date have cancel the allocation of coal block and issue direction with regard to such and the central government in pursuance of the say direction have to take immediate action to implement the say order and whereas it be expedient in public interest for the central government to take immediate action to allocate coal mine to successful bidder,2
34,34,SECTIONS,and allot te es keep in view the energy security of the country and to mi ni mise any impact on core sector such a steel cement and power utility which are vital for the development of the nation and whereas parliament be competent to legislate under entry of list i of the seventh schedule to the constitution for regulation of mine and mineral development to the extent to which such regulation and development under the control of union be declare by parliament by law to be ex the public interest be it enact by parliament in the sixty sixth year of the republic of a follow chapter i,2
35,35,SECTIONS,short title extent and commencement this act may be call the coal mine act it to the whole of it shall be deem to have come into force on the day of,3
36,36,SECTIONS,declaration a to of union action it be hereby declare that it be expedient in the public interest that union should take action for the development of schedule i coal mine and extraction of coal on continuous basis for optimum,3
37,37,SECTIONS,definition in this act unless t he context otherwise require a additional levy mean the additional levy a determine by the supreme court in writ petition criminal no of a two hundred and ninety five rupee per metric ton ne of allotment order mean the allot men t order issue under section appoint date in relation to i schedule i coal mine exclude schedule coal mine shall be the day of sept ember be the date on which the allocation of coal block to prior,3
38,38,SECTIONS,allot te es stood can celled schedule coal mine shall be the day of be the date on which the allocation of coal block to prior a shall stand can celled in pursuance of the order of the supreme court date the sept ember pass in writ petition criminal no of bank shall have the same meaning a assign to it in clause c of the se cur it is at ion and reconstruction of financial asset and enforcement of security interest act of e coal mining operation mean,3
39,39,SECTIONS,any operation under taken f or the purpose of win company shall have the same meaning a assign to it in clause of section of s act of g corporation shall have the same meaning a assign to i t in clause of sect io n of act of h financial institution shall have the same meaning a assign to it in clause m of section the se cur it is at ion and reconstruction of financial asset and enforcement of security interest act of,3
