,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,,"1.. Short title and commencement .—(1))This Act may be called the Specified Bank Notes(Cessation of Liabilities) Act, 2017.(2)) It shall be deemed to have come into force on the 31st day of December, 2016.",2
1,1,1,,"2.. Definitions. —(1))In this Act, unless the context otherwise requires,—(a)) “appointed day” means the 31st day of December, 2016;(b)) “grace period” means the period to be specified by the Central Government, by notification,during which the specified bank notes can be deposited in accordance with this Act;(c))“notification” means anotification published in the Official Gazette;(d)) “Reserve Bank” means the Reserve Bank of India constituted by the Central Government under section 3of the Reserve Bank of India Act, 1934 (2of 1934);(e))“specified",2
2,2,2,,"bank note” means abank note of the denominational value of five hundred rupees or one thousand rupees of the series existing on or before the 8th day of November, 2016.(2))The words and expressions used and not defined in this Act but defined in the Reserve Bank of India Act, 1934 (2of 1934) or the Banking Regulation Act, 1949 (10 of 1949) shall have the meanings respectively assigned to them in those Acts.",2
3,3,3,,"3.. Specified bank notes to cease to be liability of Reserve Bank or Central Government. —Onand from the appointed day, notwithstanding anything contained in the Reserve Bank of India Act, 1934(2of 1934) or any other law for the time being in force, the specified bank notes which have ceased to be legal tender, in view of the notification of the Government of India in the Ministry of Finance, number S..O..3407(E)), dated the 8th November, 2016, issued under sub-section ( 2))of section 26 of the Reserve Bank of India Act, 1934, shall cease to be",2
4,4,4,,"liabilities of the Reserve Bank under section 34 and shall cease to have the guarantee of the Central Government under sub-section ( 1))of section 26 of the said Act.4..Exchange of specified bank notes .—(1)) Notwithstanding anything contained in section 3,, the following persons holding specified bank notes on or before the 8th day of November, 2016 shall be entitled to tender within the grace period with such declarations or statements, at such offices of the Reserve Bank or in such other manner as may be specified by it, namely:—(i)) acitizen of",2
5,5,5,,"India who makes adeclaration that he was outside India between the 9th November,2016 to 30th December, 2016, subject to such conditions as may be specified, by notification, by the Central Government; or(ii) such class of persons and for such reasons as may be specified by notification, by the Central Government.(2)) The Reserve Bank may, if satisfied, after making such verifications as it may consider necessary that the reasons for failure to deposit the notes within the period specified in the notification referred to in section 3,, aregenuine,",2
6,6,6,,"credit the value of the notes in his Know Your Customer compliant bank account in such manner as may be specified by it.(3)) Any person, aggrieved by the refusal of the Reserve Bank to credit the value of the notes undersub-section ( 2)),may make arepresentation to the Central Board of the Reserve Bank within fourteen days of the communication of such refusal to him.3Explanation. —For the purposes of this section, the expression “Know Your Customer compliant bankaccount” means the account which complies with the conditions specified in the regulations made by the Reserve Bank under the Banking Regulation Act, 1949 (10 of 1949).",2
7,7,7,,"5.. Prohibition on holding transferring or receiving specified bank notes. —On and from the appointed day, no person shall, knowingly or voluntarily, hold, transfer or receive any specified banknote:Provided that nothing contained in this section shall prohibit the holding of specified bank notes—(a)) by any person—(i)) up to the expiry of the grace period; or(ii) after the expiry of the grace period,—(A)) not more than ten notes in total, irrespective of the denomination; or(B)) not more than twenty-five notes for the purposes of study, research or",3
8,8,8,,"numismatics;(b)) by the Reserve Bank or its agencies, or any other person authorised by the Reserve Bank;(c)) by any person on the direction of acourt in relation to any case pending in the court.1[[(d)) by the law enforcement agencies, such as the Central Board of Direct Taxes, Central Board of Indirect Taxes and Enforcement Directorate on production of the documents authorisingsuch seizure or confiscation, as the case may be.]",3
9,9,9,,"6.. Penalty for contravention of section 4..—Whoever knowingly and wilfully makes any declaration or statement specified under sub-section ( 1)) of section 4,, which is false in materialparticulars, or omits to make amaterial statement, or makes astatement which he does not believe to betrue, shall be punishable with fine which may extend to fifty thousand rupees or five times the amount of the face value of the specified bank notes tendered, whichever is higher.",3
