,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,SECTIONS,"1.. Short title, extent and commencement .",1
1,1,1,SECTIONS,2.. Definitions .CHAPTER IIREGISTRATION OF REAL ESTATE PROJECT AND REGISTRATION OF REAL ESTATE AGENTS,1
2,2,2,SECTIONS,3.. Prior registration of real estate project with Real Estate Regulatory Authority .,1
3,3,3,SECTIONS,4.. Application for registration of real estate projects .,1
4,4,4,SECTIONS,5.. Grant of registration .,1
5,5,5,SECTIONS,6.. Extension of registration .,1
6,6,6,SECTIONS,7.. Revocation of registration .,1
7,7,7,SECTIONS,8.. Obligation of Authority consequent upon lapse of or on revocation of registration .,1
8,8,8,SECTIONS,9.. Registration of real estate agents .,1
9,9,9,SECTIONS,10. Functions of real estate agents .CHAPTER IIIFUNCTIONS AND DUTIES OF PROMOTER,1
10,10,10,SECTIONS,11. Functions and duties of promoter .,1
11,11,11,SECTIONS,12. Obligations of promoter regarding veracity of the advertisement or prospectus .,1
12,12,12,SECTIONS,13. No deposit or advance to be taken by promoter without first entering into agreement for sale.,1
13,13,13,SECTIONS,14. Adherence to sanctioned plans and project specifications by the promoter .,1
14,14,14,SECTIONS,15. Obligations of promoter in case of transfer of areal estate project to athird party .,1
15,15,15,SECTIONS,16. Obligations of promoter regarding insurance of real estate project .,1
16,16,16,SECTIONS,17. Transfer of title .,1
17,17,17,SECTIONS,18. Return of amount and compensation .CHAPTER IVRIGHTS AND DUTIES OF ALLOT TEES,1
18,18,18,SECTIONS,19. Rights and duties of allot tees .CHAPTET VTHE REAL ESTATE REGULATORY AUTHORITY,1
19,19,19,SECTIONS,20. Establishment and incorporation of Real Estate Regulatory Authority .,1
20,20,20,SECTIONS,21. Composition of Authority .,1
21,21,21,SECTIONS,22. Qualifications of Chairperson and Members of Authority .,1
22,22,22,SECTIONS,23. Term of office of Chairperson and Members .2,1
23,23,23,SECTIONS,24. Salary and allowances payable toChairperson and Members .,2
